OBJECTID_1,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
39,141300.000000000000000,18726300.000000000000000,30363300.000000000000000,12839400.000000000000000,7070400.000000000000000,1245600.000000000000000,10491300.000000000000000,4355100.000000000000000,11037600.000000000000000,742500.000000000000000,702900.000000000000000,1659600.000000000000000,0.000000000000000,713700.000000000000000,10800.000000000000000
40,13815900.000000000000000,6904800.000000000000000,2246400.000000000000000,806400.000000000000000,126000.000000000000000,292500.000000000000000,25349400.000000000000000,21916800.000000000000000,5886000.000000000000000,2141100.000000000000000,3991500.000000000000000,15548400.000000000000000,0.000000000000000,910800.000000000000000,163800.000000000000000
41,1980900.000000000000000,3972600.000000000000000,1184400.000000000000000,449100.000000000000000,41400.000000000000000,345600.000000000000000,30201300.000000000000000,15166800.000000000000000,8507700.000000000000000,3724200.000000000000000,2182500.000000000000000,30234600.000000000000000,618300.000000000000000,981000.000000000000000,209700.000000000000000
42,605700.000000000000000,3832200.000000000000000,724500.000000000000000,362700.000000000000000,276300.000000000000000,128700.000000000000000,27170100.000000000000000,30813300.000000000000000,3618900.000000000000000,2530800.000000000000000,7948800.000000000000000,13748400.000000000000000,7687800.000000000000000,355500.000000000000000,293400.000000000000000
43,85500.000000000000000,13526100.000000000000000,18120600.000000000000000,5942700.000000000000000,1449000.000000000000000,44100.000000000000000,46866600.000000000000000,998100.000000000000000,1748700.000000000000000,278100.000000000000000,277200.000000000000000,9658800.000000000000000,356400.000000000000000,363600.000000000000000,84600.000000000000000
44,1383300.000000000000000,4710600.000000000000000,2895300.000000000000000,924300.000000000000000,162900.000000000000000,822600.000000000000000,25752600.000000000000000,25809300.000000000000000,9924300.000000000000000,2375100.000000000000000,5329800.000000000000000,16936200.000000000000000,0.000000000000000,2826000.000000000000000,247500.000000000000000
45,21600.000000000000000,1890900.000000000000000,151200.000000000000000,10800.000000000000000,1800.000000000000000,13500.000000000000000,12362400.000000000000000,31059900.000000000000000,19440000.000000000000000,11215800.000000000000000,5287500.000000000000000,3256200.000000000000000,0.000000000000000,15075000.000000000000000,613800.000000000000000
46,94500.000000000000000,4347000.000000000000000,1316700.000000000000000,145800.000000000000000,6300.000000000000000,38700.000000000000000,24425100.000000000000000,2644200.000000000000000,2164500.000000000000000,1203300.000000000000000,1142100.000000000000000,32975100.000000000000000,4365900.000000000000000,7568100.000000000000000,287100.000000000000000
47,473400.000000000000000,9512100.000000000000000,4117500.000000000000000,3186000.000000000000000,1612800.000000000000000,457200.000000000000000,22564800.000000000000000,15519600.000000000000000,7309800.000000000000000,3979800.000000000000000,6371100.000000000000000,20834100.000000000000000,1347300.000000000000000,2320200.000000000000000,399600.000000000000000
48,312300.000000000000000,2540700.000000000000000,252000.000000000000000,37800.000000000000000,900.000000000000000,140400.000000000000000,38529900.000000000000000,33611400.000000000000000,10679400.000000000000000,2298600.000000000000000,6205500.000000000000000,3170700.000000000000000,0.000000000000000,1940400.000000000000000,80100.000000000000000
49,9005400.000000000000000,2385000.000000000000000,2372400.000000000000000,2466900.000000000000000,1313100.000000000000000,172800.000000000000000,4134600.000000000000000,1403100.000000000000000,1198800.000000000000000,548100.000000000000000,916200.000000000000000,3801600.000000000000000,50347800.000000000000000,18840600.000000000000000,893700.000000000000000
50,107100.000000000000000,16132500.000000000000000,8906400.000000000000000,3978900.000000000000000,1672200.000000000000000,142200.000000000000000,26621100.000000000000000,15673500.000000000000000,9216000.000000000000000,2007900.000000000000000,3797100.000000000000000,9472500.000000000000000,2135700.000000000000000,514800.000000000000000,22500.000000000000000
51,144000.000000000000000,6360300.000000000000000,1902600.000000000000000,556200.000000000000000,157500.000000000000000,52200.000000000000000,16659000.000000000000000,2390400.000000000000000,1776600.000000000000000,811800.000000000000000,521100.000000000000000,44999100.000000000000000,20273400.000000000000000,3032100.000000000000000,163800.000000000000000
52,207900.000000000000000,5275800.000000000000000,2306700.000000000000000,958500.000000000000000,284400.000000000000000,80100.000000000000000,20015100.000000000000000,3092400.000000000000000,2640600.000000000000000,630000.000000000000000,784800.000000000000000,46066500.000000000000000,7829100.000000000000000,8451000.000000000000000,1177200.000000000000000
53,897300.000000000000000,4762800.000000000000000,2001600.000000000000000,742500.000000000000000,158400.000000000000000,94500.000000000000000,14070600.000000000000000,17551800.000000000000000,29133900.000000000000000,5283000.000000000000000,3593700.000000000000000,4369500.000000000000000,949500.000000000000000,15210900.000000000000000,1279800.000000000000000
54,1156500.000000000000000,3440700.000000000000000,1053900.000000000000000,314100.000000000000000,45000.000000000000000,660600.000000000000000,7515000.000000000000000,18121500.000000000000000,9572400.000000000000000,3628800.000000000000000,4806900.000000000000000,18009900.000000000000000,9716400.000000000000000,19685700.000000000000000,2072700.000000000000000
55,5681700.000000000000000,10762200.000000000000000,10855800.000000000000000,4610700.000000000000000,1857600.000000000000000,107100.000000000000000,14202900.000000000000000,623700.000000000000000,2678400.000000000000000,966600.000000000000000,452700.000000000000000,14588100.000000000000000,25939800.000000000000000,6591600.000000000000000,481500.000000000000000
56,14070600.000000000000000,3410100.000000000000000,2987100.000000000000000,1768500.000000000000000,1149300.000000000000000,98100.000000000000000,5111100.000000000000000,3671100.000000000000000,2724300.000000000000000,949500.000000000000000,1497600.000000000000000,6280200.000000000000000,46296000.000000000000000,8816400.000000000000000,970200.000000000000000
57,18000.000000000000000,27900.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,485100.000000000000000,550800.000000000000000,220500.000000000000000,8100.000000000000000,162900.000000000000000,23400.000000000000000,0.000000000000000,118800.000000000000000,55800.000000000000000
58,1058400.000000000000000,2422800.000000000000000,375300.000000000000000,39600.000000000000000,0.000000000000000,19800.000000000000000,19233000.000000000000000,35328600.000000000000000,10080900.000000000000000,2957400.000000000000000,664200.000000000000000,13752900.000000000000000,5838300.000000000000000,7585200.000000000000000,443700.000000000000000
59,108000.000000000000000,14238900.000000000000000,10890900.000000000000000,6679800.000000000000000,1089900.000000000000000,207000.000000000000000,26897400.000000000000000,18801000.000000000000000,16112700.000000000000000,1134900.000000000000000,1684800.000000000000000,1587600.000000000000000,0.000000000000000,355500.000000000000000,11700.000000000000000
60,333900.000000000000000,2993400.000000000000000,807300.000000000000000,247500.000000000000000,49500.000000000000000,22500.000000000000000,18979200.000000000000000,25060500.000000000000000,23202000.000000000000000,4596300.000000000000000,4323600.000000000000000,4961700.000000000000000,360900.000000000000000,13963500.000000000000000,498600.000000000000000
61,1483200.000000000000000,12452400.000000000000000,20483100.000000000000000,9779400.000000000000000,2078100.000000000000000,303300.000000000000000,32027400.000000000000000,1321200.000000000000000,1830600.000000000000000,373500.000000000000000,725400.000000000000000,9092700.000000000000000,2722500.000000000000000,4798800.000000000000000,328500.000000000000000
62,4566600.000000000000000,1555200.000000000000000,266400.000000000000000,257400.000000000000000,43200.000000000000000,163800.000000000000000,38687400.000000000000000,32409000.000000000000000,15238800.000000000000000,2717100.000000000000000,3637800.000000000000000,125100.000000000000000,0.000000000000000,652500.000000000000000,80100.000000000000000
63,391500.000000000000000,3516300.000000000000000,340200.000000000000000,135900.000000000000000,25200.000000000000000,111600.000000000000000,24143400.000000000000000,19624500.000000000000000,28503000.000000000000000,4490100.000000000000000,4631400.000000000000000,5033700.000000000000000,0.000000000000000,8956800.000000000000000,196200.000000000000000
64,251100.000000000000000,8820900.000000000000000,5691600.000000000000000,2389500.000000000000000,396000.000000000000000,36000.000000000000000,8443800.000000000000000,918900.000000000000000,2013300.000000000000000,443700.000000000000000,881100.000000000000000,18719100.000000000000000,42992100.000000000000000,7543800.000000000000000,259200.000000000000000
65,23400.000000000000000,274500.000000000000000,38700.000000000000000,23400.000000000000000,0.000000000000000,2700.000000000000000,2013300.000000000000000,4742100.000000000000000,3830400.000000000000000,250200.000000000000000,598500.000000000000000,220500.000000000000000,0.000000000000000,1726200.000000000000000,39600.000000000000000
66,5481000.000000000000000,10391400.000000000000000,10150200.000000000000000,3085200.000000000000000,1002600.000000000000000,675000.000000000000000,28002600.000000000000000,2628900.000000000000000,4766400.000000000000000,1421100.000000000000000,1044000.000000000000000,18423900.000000000000000,8030700.000000000000000,4793400.000000000000000,203400.000000000000000
67,988200.000000000000000,2691000.000000000000000,1095300.000000000000000,131400.000000000000000,5400.000000000000000,1373400.000000000000000,8275500.000000000000000,20953800.000000000000000,11978100.000000000000000,10080900.000000000000000,12980700.000000000000000,18137700.000000000000000,779400.000000000000000,8349300.000000000000000,2279700.000000000000000
68,3235500.000000000000000,3690900.000000000000000,432900.000000000000000,84600.000000000000000,3600.000000000000000,35100.000000000000000,25420500.000000000000000,39561300.000000000000000,5743800.000000000000000,3333600.000000000000000,6189300.000000000000000,10179000.000000000000000,693000.000000000000000,1394100.000000000000000,102600.000000000000000
69,257400.000000000000000,4491000.000000000000000,3181500.000000000000000,969300.000000000000000,232200.000000000000000,875700.000000000000000,41733000.000000000000000,5565600.000000000000000,6339600.000000000000000,1355400.000000000000000,1776600.000000000000000,30486600.000000000000000,1366200.000000000000000,1122300.000000000000000,47700.000000000000000
70,370800.000000000000000,5557500.000000000000000,3436200.000000000000000,990900.000000000000000,252900.000000000000000,159300.000000000000000,23794200.000000000000000,14604300.000000000000000,10837800.000000000000000,4231800.000000000000000,4245300.000000000000000,26269200.000000000000000,284400.000000000000000,5123700.000000000000000,242100.000000000000000
71,13617000.000000000000000,896400.000000000000000,38700.000000000000000,5400.000000000000000,1800.000000000000000,2700.000000000000000,26443800.000000000000000,8451900.000000000000000,3186000.000000000000000,2459700.000000000000000,470700.000000000000000,342000.000000000000000,0.000000000000000,663300.000000000000000,9900.000000000000000
72,8459100.000000000000000,1673100.000000000000000,618300.000000000000000,123300.000000000000000,18900.000000000000000,105300.000000000000000,597600.000000000000000,2101500.000000000000000,2683800.000000000000000,622800.000000000000000,1286100.000000000000000,63517500.000000000000000,3276900.000000000000000,12816900.000000000000000,1899000.000000000000000
73,3872700.000000000000000,6727500.000000000000000,2987100.000000000000000,1169100.000000000000000,317700.000000000000000,378000.000000000000000,28928700.000000000000000,3300300.000000000000000,7642800.000000000000000,1773000.000000000000000,1807200.000000000000000,38898900.000000000000000,1171800.000000000000000,905400.000000000000000,219600.000000000000000
74,1380600.000000000000000,3230100.000000000000000,933300.000000000000000,210600.000000000000000,7200.000000000000000,3316500.000000000000000,23109300.000000000000000,20384100.000000000000000,16158600.000000000000000,6599700.000000000000000,10598400.000000000000000,7273800.000000000000000,0.000000000000000,5985900.000000000000000,911700.000000000000000
75,45000.000000000000000,1617300.000000000000000,537300.000000000000000,75600.000000000000000,0.000000000000000,17100.000000000000000,6779700.000000000000000,3827700.000000000000000,790200.000000000000000,377100.000000000000000,324000.000000000000000,1946700.000000000000000,0.000000000000000,18000.000000000000000,38700.000000000000000
76,4454100.000000000000000,2511000.000000000000000,270900.000000000000000,78300.000000000000000,900.000000000000000,497700.000000000000000,1986300.000000000000000,23175900.000000000000000,6030900.000000000000000,1645200.000000000000000,2045700.000000000000000,8171100.000000000000000,6112800.000000000000000,40723200.000000000000000,2096100.000000000000000
77,304200.000000000000000,4617000.000000000000000,1758600.000000000000000,324900.000000000000000,25200.000000000000000,106200.000000000000000,34770600.000000000000000,7400700.000000000000000,11273400.000000000000000,4521600.000000000000000,4236300.000000000000000,19009800.000000000000000,1602000.000000000000000,618300.000000000000000,53100.000000000000000
78,59400.000000000000000,774900.000000000000000,289800.000000000000000,35100.000000000000000,4500.000000000000000,36900.000000000000000,12807900.000000000000000,12909600.000000000000000,2676600.000000000000000,1808100.000000000000000,4152600.000000000000000,1780200.000000000000000,671400.000000000000000,1646100.000000000000000,90000.000000000000000
79,842400.000000000000000,8548200.000000000000000,4626900.000000000000000,1797300.000000000000000,898200.000000000000000,93600.000000000000000,39135600.000000000000000,17437500.000000000000000,5956200.000000000000000,1842300.000000000000000,1407600.000000000000000,4512600.000000000000000,475200.000000000000000,1107000.000000000000000,25200.000000000000000
80,897300.000000000000000,4042800.000000000000000,2083500.000000000000000,705600.000000000000000,113400.000000000000000,561600.000000000000000,40409100.000000000000000,8426700.000000000000000,8068500.000000000000000,2625300.000000000000000,1936800.000000000000000,28163700.000000000000000,902700.000000000000000,791100.000000000000000,72000.000000000000000
81,188100.000000000000000,302400.000000000000000,36000.000000000000000,7200.000000000000000,0.000000000000000,5400.000000000000000,16159500.000000000000000,199800.000000000000000,463500.000000000000000,69300.000000000000000,146700.000000000000000,1126800.000000000000000,138600.000000000000000,6300.000000000000000,7200.000000000000000
82,44100.000000000000000,2004300.000000000000000,881100.000000000000000,417600.000000000000000,171900.000000000000000,105300.000000000000000,5949000.000000000000000,2960100.000000000000000,1511100.000000000000000,605700.000000000000000,1233900.000000000000000,11350800.000000000000000,898200.000000000000000,1248300.000000000000000,136800.000000000000000
83,1320300.000000000000000,8859600.000000000000000,4641300.000000000000000,2187900.000000000000000,721800.000000000000000,180000.000000000000000,32454000.000000000000000,15098400.000000000000000,11756700.000000000000000,3698100.000000000000000,3177000.000000000000000,11580300.000000000000000,0.000000000000000,4137300.000000000000000,287100.000000000000000
84,500400.000000000000000,25223400.000000000000000,19898100.000000000000000,10073700.000000000000000,2934900.000000000000000,270000.000000000000000,26477100.000000000000000,3494700.000000000000000,4959000.000000000000000,1089000.000000000000000,1529100.000000000000000,3126600.000000000000000,0.000000000000000,212400.000000000000000,11700.000000000000000
85,890100.000000000000000,6154200.000000000000000,3620700.000000000000000,1655100.000000000000000,740700.000000000000000,347400.000000000000000,35613000.000000000000000,8108100.000000000000000,9819900.000000000000000,2065500.000000000000000,2023200.000000000000000,27890100.000000000000000,538200.000000000000000,692100.000000000000000,242100.000000000000000
86,1199700.000000000000000,2507400.000000000000000,786600.000000000000000,168300.000000000000000,36000.000000000000000,48600.000000000000000,27416700.000000000000000,38302200.000000000000000,10927800.000000000000000,6484500.000000000000000,6082200.000000000000000,4911300.000000000000000,0.000000000000000,749700.000000000000000,179100.000000000000000
87,346500.000000000000000,4562100.000000000000000,1557900.000000000000000,368100.000000000000000,98100.000000000000000,90900.000000000000000,26766000.000000000000000,21254400.000000000000000,6549300.000000000000000,2053800.000000000000000,3933900.000000000000000,20106000.000000000000000,8722800.000000000000000,3229200.000000000000000,161100.000000000000000
88,1917900.000000000000000,8785800.000000000000000,4079700.000000000000000,880200.000000000000000,87300.000000000000000,368100.000000000000000,24815700.000000000000000,28820700.000000000000000,13840200.000000000000000,3525300.000000000000000,6184800.000000000000000,2907900.000000000000000,0.000000000000000,3428100.000000000000000,158400.000000000000000
89,60300.000000000000000,5318100.000000000000000,2899800.000000000000000,1134900.000000000000000,139500.000000000000000,45900.000000000000000,17803800.000000000000000,10586700.000000000000000,10367100.000000000000000,3456900.000000000000000,3976200.000000000000000,8465400.000000000000000,866700.000000000000000,783900.000000000000000,24300.000000000000000
90,182700.000000000000000,3614400.000000000000000,1222200.000000000000000,150300.000000000000000,14400.000000000000000,45900.000000000000000,25008300.000000000000000,31891500.000000000000000,10789200.000000000000000,4268700.000000000000000,7220700.000000000000000,13701600.000000000000000,188100.000000000000000,1470600.000000000000000,31500.000000000000000
91,5414400.000000000000000,29700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,900.000000000000000,3783600.000000000000000,81900.000000000000000,285300.000000000000000,11700.000000000000000,21600.000000000000000,0.000000000000000,0.000000000000000,85500.000000000000000,4500.000000000000000
92,1697400.000000000000000,3987000.000000000000000,2438100.000000000000000,677700.000000000000000,31500.000000000000000,1789200.000000000000000,24912000.000000000000000,31107600.000000000000000,16582500.000000000000000,2651400.000000000000000,5800500.000000000000000,7213500.000000000000000,20700.000000000000000,1107000.000000000000000,83700.000000000000000
93,45900.000000000000000,3150900.000000000000000,485100.000000000000000,60300.000000000000000,0.000000000000000,9000.000000000000000,10440900.000000000000000,31568400.000000000000000,16939800.000000000000000,10332000.000000000000000,11331000.000000000000000,10258200.000000000000000,1070100.000000000000000,3942900.000000000000000,465300.000000000000000
94,26110800.000000000000000,2674800.000000000000000,825300.000000000000000,281700.000000000000000,36900.000000000000000,180900.000000000000000,4996800.000000000000000,1941300.000000000000000,879300.000000000000000,1116000.000000000000000,774900.000000000000000,8386200.000000000000000,29281500.000000000000000,18195300.000000000000000,4118400.000000000000000
