Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
C_L12_Y1,183,32.610576,-86.523873,2022-10-17,2022-10-22
C_L12_Y1,184,32.610576,-86.523873,2022-10-22,2022-10-29
C_L14_Y1,254,32.599704,-86.534522,2022-10-16,2022-10-22
C_L14_Y1,255,32.599704,-86.534522,2022-10-22,2022-10-29
C_L15_Y1,256,32.600816,-86.534524,2022-10-16,2022-10-22
C_L15_Y1,257,32.600816,-86.534524,2022-10-22,2022-10-29
C_L16_Y1,261,32.600278,-86.534539,2022-10-16,2022-10-22
C_L16_Y1,262,32.600278,-86.534539,2022-10-22,2022-10-29
C_L17_Y1,263,32.601436,-86.534513,2022-10-16,2022-10-22
C_L17_Y1,264,32.601436,-86.534513,2022-10-22,2022-10-29
C_L18_Y1,265,32.602036,-86.534475,2022-10-16,2022-10-22
C_L18_Y1,266,32.602036,-86.534475,2022-10-22,2022-10-29
C_L19_Y1,267,32.599112,-86.529210,2022-10-16,2022-10-22
C_L1_Y1,169,32.697797,-86.529175,2022-10-17,2022-10-22
C_L20_Y1,268,32.599678,-86.529247,2022-10-22,2022-10-29
C_L21_Y1,269,32.600310,-86.529219,2022-10-22,2022-10-29
C_L22_Y1,270,32.600873,-86.529204,2022-10-16,2022-10-22
C_L22_Y1,271,32.600873,-86.529204,2022-10-22,2022-10-29
C_L23_Y1,272,32.601383,-86.529223,2022-10-16,2022-10-22
C_L23_Y1,273,32.601383,-86.529223,2022-10-22,2022-10-29
C_L24_Y1,274,32.601993,-86.529182,2022-10-16,2022-10-22
C_L24_Y1,275,32.601993,-86.529182,2022-10-22,2022-10-29
C_L25_Y1,516,32.593513,-86.534529,2022-10-16,2022-10-22
C_L25_Y1,517,32.593513,-86.534529,2022-10-22,2022-10-29
C_L27_Y1,518,32.594615,-86.534435,2022-10-22,2022-10-29
C_L28_Y1,519,32.595146,-86.534618,2022-10-16,2022-10-22
C_L28_Y1,520,32.595146,-86.534618,2022-10-22,2022-10-29
C_L29_Y1,521,32.595650,-86.534629,2022-10-16,2022-10-22
C_L29_Y1,522,32.595650,-86.534629,2022-10-22,2022-10-29
C_L2_Y1,171,32.608362,-86.529164,2022-10-17,2022-10-22
C_L2_Y1,172,32.608362,-86.529164,2022-10-22,2022-10-29
C_L30_Y1,523,32.596192,-86.534507,2022-10-16,2022-10-22
C_L31_Y1,525,32.593349,-86.529341,2022-10-16,2022-10-22
C_L31_Y1,526,32.593349,-86.529341,2022-10-22,2022-10-29
C_L34_Y1,527,32.595096,-86.529278,2022-10-16,2022-10-22
C_L34_Y1,528,32.595096,-86.529278,2022-10-22,2022-10-29
C_L36_Y1,529,32.596311,-86.529269,2022-10-22,2022-10-29
C_L37_Y1,530,32.679318,-86.587529,2022-10-16,2022-10-22
C_L37_Y1,531,32.679318,-86.587529,2022-10-22,2022-10-29
C_L38_Y1,532,32.580111,-86.587964,2022-10-16,2022-10-22
C_L39_Y1,534,32.580712,-86.587665,2022-10-16,2022-10-22
C_L39_Y1,535,32.580712,-86.587665,2022-10-22,2022-10-29
C_L3_Y1,174,32.608911,-86.529152,2022-10-22,2022-10-29
C_L40_Y1,536,32.581254,-86.587916,2022-10-16,2022-10-22
C_L40_Y1,537,32.581254,-86.587916,2022-10-22,2022-10-29
C_L41_Y1,538,32.581958,-86.587829,2022-10-22,2022-10-29
C_L42_Y1,539,32.582428,-86.587784,2022-10-16,2022-10-22
C_L42_Y1,540,32.582428,-86.587784,2022-10-22,2022-10-29
C_L43_Y1,541,32.583478,-86.583015,2022-10-22,2022-10-29
C_L46_Y1,542,32.581282,-86.582438,2022-10-22,2022-10-29
C_L47_Y1,543,32.581899,-86.582505,2022-10-16,2022-10-22
C_L47_Y1,544,32.581899,-86.582505,2022-10-22,2022-10-29
C_L49_Y1,545,32.587560,-86.529236,2022-10-22,2022-10-29
C_L4_Y1,176,32.609473,-86.529130,2022-10-17,2022-10-22
C_L50_Y1,546,32.588155,-86.529339,2022-10-22,2022-10-29
C_L51_Y1,547,32.588758,-86.529235,2022-10-22,2022-10-29
C_L52_Y1,548,32.589257,-86.529239,2022-10-16,2022-10-22
C_L52_Y1,549,32.589257,-86.529239,2022-10-22,2022-10-29
C_L53_Y1,550,32.589898,-86.529264,2022-10-16,2022-10-22
C_L56_Y1,551,32.588092,-86.523917,2022-10-16,2022-10-22
C_L56_Y1,552,32.588092,-86.523917,2022-10-22,2022-10-29
C_L57_Y1,553,32.588714,-86.523927,2022-10-16,2022-10-22
C_L57_Y1,554,32.588714,-86.523927,2022-10-22,2022-10-29
C_L58_Y1,555,32.589280,-86.523912,2022-10-16,2022-10-22
C_L59_Y1,557,32.589832,-86.523926,2022-10-22,2022-10-29
C_L5_Y1,177,32.610157,-86.528995,2022-10-17,2022-10-22
C_L5_Y1,178,32.610157,-86.528995,2022-10-22,2022-10-29
C_L60_Y1,558,32.590416,-86.523930,2022-10-16,2022-10-22
C_L60_Y1,559,32.590416,-86.523930,2022-10-22,2022-10-29
C_L61_Y1,560,32.576103,-86.534599,2022-10-16,2022-10-22
C_L61_Y1,561,32.576103,-86.534599,2022-10-22,2022-10-29
C_L63_Y1,562,32.577167,-86.534680,2022-10-16,2022-10-22
C_L63_Y1,563,32.577167,-86.534680,2022-10-22,2022-10-29
C_L64_Y1,564,32.577699,-86.534704,2022-10-16,2022-10-22
C_L64_Y1,565,32.577699,-86.534704,2022-10-22,2022-10-29
C_L65_Y1,566,32.578365,-86.534556,2022-10-16,2022-10-22
C_L65_Y1,567,32.578365,-86.534556,2022-10-22,2022-10-29
C_L66_Y1,568,32.578882,-86.534673,2022-10-16,2022-10-22
C_L66_Y1,569,32.578882,-86.534673,2022-10-22,2022-10-29
C_L68_Y1,570,32.576616,-86.529314,2022-10-22,2022-10-29
C_L6_Y1,179,32.610673,-86.529121,2022-10-22,2022-10-29
C_L70_Y1,571,32.577722,-86.529443,2022-10-22,2022-10-29
C_L7_Y1,180,32.607807,-86.523856,2022-10-22,2022-10-29
C_L8_Y1,181,32.608391,-86.523794,2022-10-17,2022-10-22
C_L9_Y1,182,32.608896,-86.523857,2022-10-22,2022-10-29
C_U10_Y1,198,32.623076,-86.553386,2022-10-17,2022-10-22
C_U11_Y1,199,32.623720,-86.553425,2022-10-17,2022-10-22
C_U13_Y1,278,32.600949,-86.571123,2022-10-17,2022-10-22
C_U13_Y1,279,32.600949,-86.571123,2022-10-22,2022-10-29
C_U14_Y1,280,32.601473,-86.571128,2022-10-17,2022-10-22
C_U14_Y1,281,32.601473,-86.571128,2022-10-22,2022-10-29
C_U15_Y1,282,32.601902,-86.570969,2022-10-17,2022-10-22
C_U15_Y1,283,32.601902,-86.570969,2022-10-22,2022-10-29
C_U16_Y1,284,32.602554,-86.571010,2022-10-17,2022-10-22
C_U16_Y1,285,32.602554,-86.571010,2022-10-22,2022-10-29
C_U17_Y1,286,32.603217,-86.571102,2022-10-17,2022-10-22
C_U17_Y1,287,32.603217,-86.571102,2022-10-22,2022-10-29
C_U18_Y1,288,32.603786,-86.571026,2022-10-17,2022-10-22
C_U18_Y1,289,32.603786,-86.571026,2022-10-22,2022-10-29
C_U19_Y1,290,32.600952,-86.565877,2022-10-17,2022-10-22
C_U1_Y1,185,32.621946,-86.558731,2022-10-17,2022-10-22
C_U1_Y1,186,32.621946,-86.558731,2022-10-22,2022-10-29
C_U20_Y1,295,32.601439,-86.565843,2022-11-09,2022-11-14
C_U20_Y1,296,32.601439,-86.565843,2022-11-14,2022-11-21
C_U21_Y1,297,32.602055,-86.565857,2022-10-22,2022-10-29
C_U22_Y1,298,32.602668,-86.565795,2022-10-17,2022-10-22
C_U22_Y1,299,32.602668,-86.565795,2022-10-22,2022-10-29
C_U23_Y1,300,32.603255,-86.565832,2022-10-17,2022-10-22
C_U23_Y1,301,32.603255,-86.565832,2022-10-22,2022-10-29
C_U24_Y1,302,32.603864,-86.565911,2022-10-17,2022-10-22
C_U24_Y1,303,32.603864,-86.565911,2022-10-22,2022-10-29
C_U25_Y1,572,32.593354,-86.568504,2022-10-16,2022-10-22
C_U27_Y1,574,32.594520,-86.568612,2022-10-16,2022-10-22
C_U28_Y1,575,32.595118,-86.567874,2022-10-16,2022-10-22
C_U28_Y1,576,32.595118,-86.567874,2022-10-22,2022-10-29
C_U29_Y1,577,32.595566,-86.567936,2022-10-10,2022-10-22
C_U29_Y1,578,32.595566,-86.567936,2022-10-22,2022-10-29
C_U30_Y1,579,32.596309,-86.567962,2022-10-16,2022-10-22
