Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
C_U29_Y1,577,CU305A,Didelphis virginiana,C_U29_Y1_577,2022-10-14 19:48:01,2022-10-14,19:48:01,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\27,270062f2-8889-4b64-ae75-6e9a9e8930c1.jpg
C_U43_Y1,599,CU407A,Urocyon cinereoargenteus,C_U43_Y1_599,2022-10-16 15:50:22,2022-10-16,15:50:22,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\c6,c6fa7b9d-8ee9-45e8-9669-36bbf60f6c2f.jpg
C_U41_Y1,595,CU405A,Canis familiaris,C_U41_Y1_595,2022-10-16 16:40:30,2022-10-16,16:40:30,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\b1,b1368d02-15f3-4c48-a573-9f7897e65796.jpg
C_L39_Y1,534,CL403A,unknown lagomorph,C_L39_Y1_534,2022-10-16 17:21:05,2022-10-16,17:21:05,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\a1,a1dded5d-d18d-4a7e-84a0-dccac66dc9ed.jpg
C_U33_Y1,583,CU309A,Procyon lotor,C_U33_Y1_583,2022-10-16 18:19:36,2022-10-16,18:19:36,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f4,f428d1f2-ded9-4840-a238-8537d12923e1.jpg
C_U33_Y1,583,CU309A,Procyon lotor,C_U33_Y1_583,2022-10-16 18:19:36,2022-10-16,18:19:36,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f4,f428d1f2-ded9-4840-a238-8537d12923e1.jpg
C_L40_Y1,536,CL404A,Procyon lotor,C_L40_Y1_536,2022-10-16 18:45:56,2022-10-16,18:45:56,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\50,50e9b9e2-b81e-4568-9e4d-fde3f72860ec.jpg
C_L40_Y1,536,CL404A,Procyon lotor,C_L40_Y1_536,2022-10-16 18:45:56,2022-10-16,18:45:56,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\50,50e9b9e2-b81e-4568-9e4d-fde3f72860ec.jpg
C_L60_Y1,558,CL512A,Procyon lotor,C_L60_Y1_558,2022-10-16 18:55:07,2022-10-16,18:55:07,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\18,18e6f148-d241-412b-b8d4-c37292787cd6.jpg
C_L56_Y1,551,CL508A,Procyon lotor,C_L56_Y1_551,2022-10-16 19:25:43,2022-10-16,19:25:43,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f2,f249d048-320e-49f5-a0fe-501b28be4daf.jpg
C_L37_Y1,530,CL401A,Procyon lotor,C_L37_Y1_530,2022-10-16 19:30:11,2022-10-16,19:30:11,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\db,dbf8f64d-d7b2-4e96-bce6-4a94d4ac73fa.jpg
C_L37_Y1,530,CL401A,Procyon lotor,C_L37_Y1_530,2022-10-16 19:30:11,2022-10-16,19:30:11,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\db,dbf8f64d-d7b2-4e96-bce6-4a94d4ac73fa.jpg
C_U33_Y1,583,CU309A,Didelphis virginiana,C_U33_Y1_583,2022-10-16 19:48:17,2022-10-16,19:48:17,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\67,67c9d087-d458-40d6-996b-0c1e1221bd91.jpg
C_L16_Y1,261,CL204A,Didelphis virginiana,C_L16_Y1_261,2022-10-16 19:53:06,2022-10-16,19:53:06,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ae,ae640df0-3f82-461f-9113-55467ff2d680.jpg
C_L42_Y1,539,CL406A,Procyon lotor,C_L42_Y1_539,2022-10-16 19:55:43,2022-10-16,19:55:43,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\f9,f9182600-f160-4961-97f8-e514bd3069f0.jpg
C_U45_Y1,603,CU409A,Odocoileus virginianus,C_U45_Y1_603,2022-10-16 20:01:12,2022-10-16,20:01:12,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\03,034de16f-b06e-4f67-8864-8b1647ba048a.jpg
C_L15_Y1,256,CL203A,Didelphis virginiana,C_L15_Y1_256,2022-10-16 20:56:01,2022-10-16,20:56:01,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\8b,8bb72c1e-6db9-42b4-bf1e-69bc2bcc9f4b.jpg
C_L40_Y1,536,CL404A,Didelphis virginiana,C_L40_Y1_536,2022-10-16 21:19:09,2022-10-16,21:19:09,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\df,df558d46-bc3a-462f-b02c-f08c7c1d9c40.jpg
C_L37_Y1,530,CL401A,Didelphis virginiana,C_L37_Y1_530,2022-10-16 21:28:00,2022-10-16,21:28:00,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\5d,5d94cfa7-ecee-49ad-a09d-9f7846419caf.jpg
C_L24_Y1,274,CL212A,Didelphis virginiana,C_L24_Y1_274,2022-10-16 21:29:49,2022-10-16,21:29:49,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4b,4b180dda-4ef6-4425-8319-2605847d36d3.jpg
C_L61_Y1,560,CL601A,Procyon lotor,C_L61_Y1_560,2022-10-16 21:56:35,2022-10-16,21:56:35,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\83,83af356e-d23a-42b1-9b65-f614eba68ee3.jpg
C_U33_Y1,583,CU309A,Procyon lotor,C_U33_Y1_583,2022-10-16 22:16:42,2022-10-16,22:16:42,14226,237,4.0,0.2,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\8f,8fccd5e4-602b-42f1-b153-62db5b0f3161.jpg
C_L28_Y1,519,CL304A,Procyon lotor,C_L28_Y1_519,2022-10-16 22:27:50,2022-10-16,22:27:50,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\ca,cadccb6f-5071-41f7-95da-0087a7f5c7d8.jpg
C_L28_Y1,519,CL304A,Glaucomys volans,C_L28_Y1_519,2022-10-16 22:28:32,2022-10-16,22:28:32,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4e,4edcebe1-6509-4e8a-a9d5-78062406a227.jpg
C_U43_Y1,599,CU407A,Odocoileus virginianus,C_U43_Y1_599,2022-10-16 23:47:45,2022-10-16,23:47:45,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\67,672007f9-bc12-4adf-b2d8-af2cd5d9d263.jpg
C_L30_Y1,523,CL306A,Procyon lotor,C_L30_Y1_523,2022-10-16 23:56:53,2022-10-16,23:56:53,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\49,49cae7e6-0128-40d4-8a41-89e25f8e3edb.jpg
C_L53_Y1,550,CL505A,unknown lagomorph,C_L53_Y1_550,2022-10-17 00:20:19,2022-10-17,00:20:19,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\03,03abb5e1-7bba-4e97-b718-7d1f1f77c60a.jpg
C_U46_Y1,605,CU410A,unknown rodent,C_U46_Y1_605,2022-10-17 00:30:21,2022-10-17,00:30:21,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4e,4e5f9226-46bd-4ecb-bf00-7304d77a3dfc.jpg
C_L38_Y1,532,CL402A,Dasypus novemcinctus,C_L38_Y1_532,2022-10-17 00:43:38,2022-10-17,00:43:38,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\00,00ccc637-c4f9-4791-9b37-10939f9aea57.jpg
C_L15_Y1,256,CL203A,Procyon lotor,C_L15_Y1_256,2022-10-17 00:49:09,2022-10-17,00:49:09,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\10,10b7fcf0-976e-4c82-b02c-4e1f9d34baae.jpg
C_L52_Y1,548,CL504A,unknown lagomorph,C_L52_Y1_548,2022-10-17 00:52:45,2022-10-17,00:52:45,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\87,8731e293-baac-4876-ab94-3fc1cb3e418c.jpg
C_L53_Y1,550,CL505A,unknown lagomorph,C_L53_Y1_550,2022-10-17 00:54:12,2022-10-17,00:54:12,2033,33,0.6,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\96,96c6d8c7-f3b1-4163-a124-7689a7632ae4.jpg
C_L23_Y1,272,CL211A,Didelphis virginiana,C_L23_Y1_272,2022-10-17 01:30:23,2022-10-17,01:30:23,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\5f,5f0562a6-5f6a-4796-9635-fe9c8631c865.jpg
C_U32_Y1,582,CU308A,Didelphis virginiana,C_U32_Y1_582,2022-10-17 01:49:49,2022-10-17,01:49:49,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\e2,e24abb91-0163-48d6-a378-e022528e10ff.jpg
C_L37_Y1,530,CL401A,Didelphis virginiana,C_L37_Y1_530,2022-10-17 02:00:47,2022-10-17,02:00:47,16367,272,4.5,0.2,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\9e,9e5c38e7-7008-4717-886b-da2abaec7663.jpg
C_L63_Y1,562,CL603A,Procyon lotor,C_L63_Y1_562,2022-10-17 03:08:04,2022-10-17,03:08:04,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\d8,d8ee1a88-bc57-4a43-a590-e075e1071f2c.jpg
C_L17_Y1,263,CL205A,Odocoileus virginianus,C_L17_Y1_263,2022-10-17 03:18:26,2022-10-17,03:18:26,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\4c,4c47156a-5586-4f38-951d-e1daf07d8762.jpg
C_L56_Y1,551,CL508A,Didelphis virginiana,C_L56_Y1_551,2022-10-17 03:48:37,2022-10-17,03:48:37,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\c9,c98a2c12-0c2d-4d8f-bfe1-b26ee5a5eb8f.jpg
C_L42_Y1,539,CL406A,Didelphis virginiana,C_L42_Y1_539,2022-10-17 04:52:11,2022-10-17,04:52:11,0,0,0.0,0.0,C:\Users\rylee\AppData\Local\camelot\Datasets\default\Media\b7,b77338dc-264a-4302-8d58-379da1046562.jpg
