Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
S_L10_Y1,653,30.678176,-87.424655,2023-01-14,2023-01-21
S_L10_Y1,654,30.678176,-87.424655,2023-01-21,2023-01-28
S_L12_Y1,655,30.679403,-87.424699,2023-01-14,2023-01-21
S_L12_Y1,656,30.679403,-87.424699,2023-01-21,2023-01-28
S_L13_Y1,657,30.408261,-87.841897,2023-01-15,2023-01-22
S_L13_Y1,658,30.408261,-87.841897,2023-01-22,2023-01-28
S_L14_Y1,659,30.408792,-87.841931,2023-01-15,2023-01-22
S_L14_Y1,660,30.408792,-87.841931,2023-01-22,2023-01-28
S_L15_Y1,661,30.409375,-87.841946,2023-01-15,2023-01-22
S_L15_Y1,662,30.409375,-87.841946,2023-01-22,2023-01-28
S_L16_Y1,663,30.409930,-87.841953,2023-01-15,2023-01-22
S_L16_Y1,664,30.409930,-87.841953,2023-01-22,2023-01-28
S_L17_Y1,665,30.410546,-87.841889,2023-01-15,2023-01-22
S_L17_Y1,666,30.410546,-87.841889,2023-01-22,2023-01-28
S_L18_Y1,667,30.410858,-87.841948,2023-01-15,2023-01-22
S_L18_Y1,668,30.410858,-87.841948,2023-01-22,2023-01-28
S_L1_Y1,640,30.676498,-87.429868,2023-01-21,2023-01-28
S_L20_Y1,669,30.409031,-87.837903,2023-01-15,2023-01-22
S_L20_Y1,670,30.409031,-87.837903,2023-01-22,2023-01-28
S_L21_Y1,671,30.409701,-87.837896,2023-01-15,2023-01-22
S_L21_Y1,672,30.409701,-87.837896,2023-01-22,2023-01-28
S_L23_Y1,673,30.410930,-87.837890,2023-01-15,2023-01-22
S_L23_Y1,674,30.410930,-87.837890,2023-01-22,2023-01-28
S_L24_Y1,678,30.411353,-87.838058,2023-01-15,2023-01-22
S_L24_Y1,679,30.411353,-87.838058,2023-01-22,2023-01-28
S_L25_Y1,680,30.403088,-87.847066,2023-01-15,2023-01-22
S_L25_Y1,681,30.403088,-87.847066,2023-01-22,2023-01-28
S_L26_Y1,682,30.403719,-87.847040,2023-01-15,2023-01-22
S_L26_Y1,683,30.403719,-87.847040,2023-01-22,2023-01-28
S_L27_Y1,684,30.404318,-87.847031,2023-01-15,2023-01-22
S_L27_Y1,685,30.404318,-87.847031,2023-01-22,2023-01-28
S_L28_Y1,686,30.404913,-87.847017,2023-01-14,2023-01-22
S_L28_Y1,687,30.404913,-87.847017,2023-01-22,2023-01-28
S_L29_Y1,688,30.405471,-87.847033,2023-01-15,2023-01-22
S_L29_Y1,689,30.405471,-87.847033,2023-01-22,2023-01-28
S_L2_Y1,641,30.677082,-87.429920,2023-01-14,2023-01-21
S_L2_Y1,642,30.677082,-87.429920,2023-01-21,2023-01-28
S_L30_Y1,690,30.405947,-87.846918,2023-01-14,2023-01-22
S_L30_Y1,691,30.405947,-87.846918,2023-01-22,2023-01-28
S_L31_Y1,692,30.403016,-87.842391,2023-01-15,2023-01-22
S_L31_Y1,693,30.403016,-87.842391,2023-01-22,2023-01-28
S_L32_Y1,694,30.403586,-87.842281,2023-01-15,2023-01-22
S_L32_Y1,695,30.403586,-87.842281,2023-01-22,2023-01-28
S_L33_Y1,696,30.404171,-87.842161,2023-01-15,2023-01-22
S_L33_Y1,697,30.404171,-87.842161,2023-01-22,2023-01-28
S_L34_Y1,698,30.404717,-87.842011,2023-01-22,2023-01-28
S_L35_Y1,699,30.405336,-87.842187,2023-01-15,2023-01-22
S_L35_Y1,700,30.405336,-87.842187,2023-01-22,2023-01-28
S_L36_Y1,701,30.405802,-87.842131,2023-01-15,2023-01-22
S_L36_Y1,702,30.405802,-87.842131,2023-01-22,2023-01-28
S_L37_Y1,703,30.414498,-87.820647,2023-01-15,2023-01-22
S_L37_Y1,704,30.414498,-87.820647,2023-01-22,2023-01-29
S_L38_Y1,705,30.415084,-87.820603,2023-01-15,2023-01-22
S_L38_Y1,706,30.415084,-87.820603,2023-01-22,2023-01-29
S_L39_Y1,707,30.417777,-87.816371,2023-01-15,2023-01-22
S_L39_Y1,708,30.417777,-87.816371,2023-01-22,2023-01-29
S_L3_Y1,643,30.677582,-87.429849,2023-01-14,2023-01-21
S_L3_Y1,644,30.677582,-87.429849,2023-01-21,2023-01-28
S_L40_Y1,709,30.415564,-87.820371,2023-01-15,2023-01-22
S_L40_Y1,710,30.415564,-87.820371,2023-01-22,2023-01-29
S_L41_Y1,711,30.417129,-87.816399,2023-01-15,2023-01-22
S_L41_Y1,712,30.417129,-87.816399,2023-01-22,2023-01-29
S_L42_Y1,713,30.416456,-87.816328,2023-01-15,2023-01-22
S_L42_Y1,714,30.416456,-87.816328,2023-01-22,2023-01-29
S_L43_Y1,715,30.417642,-87.815603,2023-01-15,2023-01-22
S_L43_Y1,716,30.417642,-87.815603,2023-01-22,2023-01-29
S_L45_Y1,717,30.415896,-87.816674,2023-01-22,2023-01-29
S_L46_Y1,718,30.415904,-87.815546,2023-01-22,2023-01-29
S_L47_Y1,719,30.415314,-87.815625,2023-01-22,2023-01-29
S_L48_Y1,720,30.414727,-87.815613,2023-01-15,2023-01-22
S_L48_Y1,721,30.414727,-87.815613,2023-01-22,2023-01-29
S_L49_Y1,722,30.957858,-87.861497,2023-01-14,2023-01-21
S_L49_Y1,723,30.957858,-87.861497,2023-01-21,2023-01-28
S_L4_Y1,645,30.678036,-87.429861,2023-01-14,2023-01-21
S_L50_Y1,724,30.957305,-87.861522,2023-01-14,2023-01-21
S_L50_Y1,725,30.957305,-87.861522,2023-01-21,2023-01-28
S_L51_Y1,726,30.956699,-87.861495,2023-01-14,2023-01-21
S_L51_Y1,727,30.956699,-87.861495,2023-01-21,2023-01-28
S_L52_Y1,728,30.956171,-87.861481,2023-01-14,2023-01-21
S_L52_Y1,729,30.956171,-87.861481,2023-01-21,2023-01-28
S_L53_Y1,730,30.955545,-87.861535,2023-01-14,2023-01-21
S_L53_Y1,731,30.955545,-87.861535,2023-01-21,2023-01-28
S_L54_Y1,732,30.955026,-87.861418,2023-01-14,2023-01-21
S_L54_Y1,733,30.955026,-87.861418,2023-01-21,2023-01-28
S_L55_Y1,734,30.954835,-87.865560,2023-01-14,2023-01-21
S_L55_Y1,735,30.954835,-87.865560,2023-01-21,2023-01-28
